ID_POD_CONSUMO_MENSILE,POD,KWH_MESE,ANNO,MESE,DATA_INIZIO_VALIDITA,DATA_FINE_VALIDITA,ID_POD_CONSUMO,GIORNO,KWH_01,KWH_02,KWH_03,KWH_04,KWH_05,KWH_06,KWH_07,KWH_08,KWH_09,KWH_10,KWH_11,KWH_12,KWH_13,KWH_14,KWH_15,KWH_16,KWH_17,KWH_18,KWH_19,KWH_20,KWH_21,KWH_22,KWH_23,KWH_24,KWH_25
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778942,1,2,2.3,2,2,2.2,2.1,2,2.3,1.3,0.1,0,0.1,0.3,1,1,1.8,2.9,3.5,4.5,4.9,3.6,3.6,3,2.3,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778949,2,2.2,2.2,2.6,2.3,2.3,5.3,11.3,51,110.7,106.5,76.8,53.7,3.8,37.4,89.4,83.6,89,101.1,17.1,4.4,3.5,3.6,2.6,2.2,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778954,3,2.3,2,2.1,2,2.4,5.8,10.9,47,93.6,74.5,72,40.8,5.4,33.1,87.9,98.6,97.7,97.2,10.9,3.5,3.5,3.7,2.8,2.2,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778955,4,2.2,2.2,2.2,2.2,2.2,6.2,11.1,73,111.1,101.9,84.1,54.9,13.9,30.2,76.8,88.1,96.8,97.3,12.2,3.9,3.4,3.3,2.8,2,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778956,5,2,2.1,1.7,2.1,2,2,1.9,23.8,73.8,61.7,67.6,26.5,0,0,0,0.2,1.6,2.2,1.8,2.2,1.9,2,1.8,1.9,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778957,6,2,1.6,2,1.7,1.9,2,1.8,1.9,0.5,0,0,0,0,0,0,0,1.6,2,3.3,1.8,2.4,1.9,2.3,1.8,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778958,7,2.2,1.9,2.2,1.9,2.2,5.7,11.4,70.3,120.5,124,114.4,100.6,11.6,50.5,120.3,125.2,140.6,124.1,23,9.4,8,8.1,6.6,5.8,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778959,8,5.4,5.2,2.6,2.4,2.2,7.3,11.3,60.8,130.6,136.4,126.8,123.8,55.8,86.6,128.4,127.1,135,120.2,17,5.3,4.9,4.7,4.2,3.2,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778960,9,3.3,3.2,3.5,3.2,3.4,7.7,12.2,53.2,133.2,124.8,88.8,65.1,0.4,29.5,103,104.1,116.5,125,13.3,3.8,3.4,3.3,2.7,2,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778961,10,1.9,2,2,1.9,1.9,2,6.9,70.7,120.6,100.1,70.7,72.1,39.9,39.1,95.4,116.9,107.8,99.4,11.1,4.2,3.4,3.5,2.7,2,
31578091,IT001E00254221,24938.5,2019,1,01/01/2019,01/31/2019 23:59:59,680778966,11,2.1,2.1,1.9,2,2.1,2,8.3,66.6,118.7,114.6,88.8,60.6,0.8,28.5,99.1,108.9,120.9,110.2,20.2,13.4,12.1,9.1,2.9,2.3,
