ORAINI,load_cluster_forecast,sbil_forecasted,mi1,mi2,mgp,msd_forecast_EUR_MWh,cluster_load_actual_available_MW,consumption_actual_available_MWh,macro_imbalance_actual_available_MWh,price_MGP_realized_EUR_MWh,mgp_signal_EUR_MWh,mi1_realized_EUR_MWh,price_MI1_realized_EUR_MWh,mi1_signal_EUR_MWh,mi2_realized_EUR_MWh,price_MI2_realized_EUR_MWh,mi2_signal_EUR_MWh,price_MI_realized_EUR_MWh,mgp_offer_deadline_ts,mgp_offer_deadline_hours_before_delivery
2023-09-07 13:00:00,0.20762892,132.62735,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,23.0
2023-09-07 14:00:00,0.22326933,11.668369,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,24.0
2023-09-07 15:00:00,0.22496377,-99.40593,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,25.0
2023-09-07 16:00:00,0.23225874,-11.726881,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,26.0
2023-09-07 17:00:00,0.23022681,272.12766,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,27.0
2023-09-07 18:00:00,0.2225003,182.48964,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,28.0
2023-09-07 19:00:00,0.21295625,6.871416,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,29.0
2023-09-07 20:00:00,0.19785932,325.5338,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,30.0
2023-09-07 21:00:00,0.18369462,185.4536,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,31.0
2023-09-07 22:00:00,0.18184198,897.1102,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,32.0
2023-09-07 23:00:00,0.17957428,529.61676,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-06 14:00:00,33.0
2023-09-08 00:00:00,0.17926982,284.94897,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,10.0
2023-09-08 01:00:00,0.17929368,74.76724,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,11.0
2023-09-08 02:00:00,0.1789457,136.6771,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,12.0
2023-09-08 03:00:00,0.17748556,133.9124,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,13.0
2023-09-08 04:00:00,0.17773736,-137.32071,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,14.0
2023-09-08 05:00:00,0.17942573,304.6778,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,15.0
2023-09-08 06:00:00,0.1881655,-6.5552826,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,16.0
2023-09-08 07:00:00,0.22782329,171.86493,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,17.0
2023-09-08 08:00:00,0.2580143,95.664795,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,18.0
2023-09-08 09:00:00,0.267254,419.68564,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,19.0
2023-09-08 10:00:00,0.23411286,291.3086,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,20.0
2023-09-08 11:00:00,0.22307387,448.9994,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,21.0
2023-09-08 12:00:00,0.2061905,426.1936,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,22.0
2023-09-08 13:00:00,0.22285897,387.18887,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,23.0
2023-09-08 14:00:00,0.22518986,365.4793,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,24.0
2023-09-08 15:00:00,0.22773589,394.46988,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,25.0
2023-09-08 16:00:00,0.23781386,390.3476,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,26.0
2023-09-08 17:00:00,0.23812437,396.24786,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,27.0
2023-09-08 18:00:00,0.22080623,457.07544,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,28.0
2023-09-08 19:00:00,0.19270524,717.39,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,29.0
2023-09-08 20:00:00,0.16569154,463.71426,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,30.0
2023-09-08 21:00:00,0.15501301,476.2256,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,31.0
2023-09-08 22:00:00,0.14177166,537.6007,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,32.0
2023-09-08 23:00:00,0.13852331,327.26508,106.29,106.29,105.990102796053,106.13829263260816,,,,,105.990102796053,,,106.29,,,106.29,,2023-09-07 14:00:00,33.0
2023-09-09 00:00:00,0.13489269,365.38458,106.29,106.29,105.990102796053,106.13829263260816,,,,105.990102796053,105.990102796053,,,106.29,,,106.29,,2023-09-08 14:00:00,10.0
2023-09-09 01:00:00,0.13349405,312.6635,106.29,106.29,105.990102796053,106.26802525817008,,,,105.990102796053,105.990102796053,,,106.29,,,106.29,,2023-09-08 14:00:00,11.0
2023-09-09 02:00:00,0.13448384,215.81552,106.29,106.29,105.990102796053,97.4882272783116,,,,105.990102796053,105.990102796053,,,106.29,,,106.29,,2023-09-08 14:00:00,12.0
2023-09-09 03:00:00,0.13448277,265.36884,106.29,106.29,105.990102796053,102.7727765759313,,,,105.990102796053,105.990102796053,,,106.29,,,106.29,,2023-09-08 14:00:00,13.0
2023-09-09 04:00:00,0.13456662,-53.46776,106.29,106.29,105.990102796053,96.19509138542033,,,,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,14.0
2023-09-09 05:00:00,0.13610123,191.39456,106.29,106.29,105.990102796053,94.64088299381052,,,,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,15.0
2023-09-09 06:00:00,0.14502665,-105.97533,106.29,106.29,105.990102796053,107.79492824508225,,,335.193,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,16.0
2023-09-09 07:00:00,0.19734266,-26.720387,106.29,106.29,128.082027027027,138.41608951421583,,,-113.237,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,17.0
2023-09-09 08:00:00,0.22519232,-46.515358,106.29,106.29,128.082027027027,125.01000344594748,,,-78.868,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,18.0
2023-09-09 09:00:00,0.21769355,-10.388882,106.29,106.29,128.082027027027,112.2685972868819,,,6.552,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,19.0
2023-09-09 10:00:00,0.20361686,1.8367176,106.29,106.29,128.082027027027,110.01917065711392,,,221.957,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,20.0
2023-09-09 11:00:00,0.19786507,-22.503323,106.29,106.29,128.082027027027,108.28974441364788,,,-66.91300000000001,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,21.0
2023-09-09 12:00:00,0.15647276,6.7415066,106.29,106.29,128.082027027027,92.95309041781282,,,33.314,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,22.0
2023-09-09 13:00:00,0.18172775,-35.45552,106.29,106.29,128.082027027027,91.8714798399736,,,-25.886000000000003,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,23.0
2023-09-09 14:00:00,0.16978067,-93.591736,106.29,106.29,128.082027027027,92.31788541683828,,,-26.32499999999999,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,24.0
2023-09-09 15:00:00,0.1668167,-18.792807,106.29,106.29,128.082027027027,110.38738281634583,,,19.043000000000006,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,25.0
2023-09-09 16:00:00,0.16285914,-86.13233,106.29,106.29,128.082027027027,105.63356565216932,,,-34.85700000000001,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,26.0
2023-09-09 17:00:00,0.15839258,-145.15652,106.29,106.29,128.082027027027,104.43644025531592,,,387.277,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,27.0
2023-09-09 18:00:00,0.15607348,-182.35913,106.29,106.29,128.082027027027,125.98270053954258,,,-110.391,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,28.0
2023-09-09 19:00:00,0.14462776,-345.40997,106.29,106.29,128.082027027027,159.13610830259705,,,-71.402,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,29.0
2023-09-09 20:00:00,0.13316634,-418.74066,106.29,106.29,128.082027027027,154.4552372923299,,,257.97,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,30.0
2023-09-09 21:00:00,0.12799552,-275.06033,106.29,106.29,128.082027027027,134.496114106364,,,-167.136,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,31.0
2023-09-09 22:00:00,0.1270846,-59.974976,106.29,106.29,128.082027027027,112.63840927187954,,,-112.216,128.082027027027,128.082027027027,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,32.0
2023-09-09 23:00:00,0.118838884,40.74948,106.29,106.29,105.990102796053,105.89745797211948,,,-53.12299999999999,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-08 14:00:00,33.0
2023-09-10 00:00:00,0.12115097,211.73572,106.29,106.29,105.990102796053,104.17322930969353,0.1302699999999999,0.1302699999999999,-531.309,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-09 14:00:00,10.0
2023-09-10 01:00:00,0.11832655,-27.846573,106.29,106.29,105.990102796053,99.28667606434183,0.123449,0.123449,-678.153,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-09 14:00:00,11.0
2023-09-10 02:00:00,0.118136056,59.967842,106.29,106.29,105.990102796053,101.59821769917124,0.11381,0.11381,-344.958,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-09 14:00:00,12.0
2023-09-10 03:00:00,0.11777356,117.14102,106.29,106.29,105.990102796053,97.47591303622596,0.10651,0.10651,-233.14,105.990102796053,105.990102796053,106.29,106.29,106.29,106.29,106.29,106.29,106.29,2023-09-09 14:00:00,13.0
