ORAINI,load_cluster_forecast,sbil_forecasted,mi1,mi2,mgp,msd_forecast_EUR_MWh,cluster_load_actual_available_MW,consumption_actual_available_MWh,macro_imbalance_actual_available_MWh,price_MGP_realized_EUR_MWh,mgp_signal_EUR_MWh,mi1_realized_EUR_MWh,price_MI1_realized_EUR_MWh,mi1_signal_EUR_MWh,mi2_realized_EUR_MWh,price_MI2_realized_EUR_MWh,mi2_signal_EUR_MWh,price_MI_realized_EUR_MWh,mgp_offer_deadline_ts,mgp_offer_deadline_hours_before_delivery
2023-09-07 12:45:00,,107.80581000000004,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,22.75
2023-09-07 13:00:00,781.8053742471151,107.80581000000004,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,23.0
2023-09-07 13:15:00,777.4057586229392,67.93775999999998,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,23.25
2023-09-07 13:30:00,778.708143452636,39.866340000000015,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,23.5
2023-09-07 13:45:00,780.7055747665318,3.2325299999999992,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,23.75
2023-09-07 14:00:00,787.3640009437701,90.3794,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,24.0
2023-09-07 14:15:00,793.0909768529818,69.96198333333334,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,24.25
2023-09-07 14:30:00,796.5274532608745,29.22928999999999,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,24.5
2023-09-07 14:45:00,800.0062605597152,-10.678860000000002,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,24.75
2023-09-07 15:00:00,799.977348803397,89.32089000000002,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,25.0
2023-09-07 15:15:00,800.3942758611639,69.10671333333333,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,25.25
2023-09-07 15:30:00,799.8610949902745,28.125209999999996,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,25.5
2023-09-07 15:45:00,801.3355801519996,-22.84682000000001,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,25.75
2023-09-07 16:00:00,798.844870280227,85.62069000000001,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,26.0
2023-09-07 16:15:00,795.396985667065,54.12259,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,26.25
2023-09-07 16:30:00,793.1536791535059,20.868619999999996,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,26.5
2023-09-07 16:45:00,791.1678890714163,-58.33392999999999,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,26.75
2023-09-07 17:00:00,786.4311602041175,79.29094000000005,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,27.0
2023-09-07 17:15:00,791.22809871947,37.78235000000001,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,27.25
2023-09-07 17:30:00,784.3659996867506,-0.16066000000000075,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,27.5
2023-09-07 17:45:00,786.1281083591986,-64.16978,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,27.75
2023-09-07 18:00:00,787.0007127717422,18.98552999999999,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,28.0
2023-09-07 18:15:00,788.7135112853044,6.039035,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,28.25
2023-09-07 18:30:00,785.4053177553559,-28.520660000000017,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,28.5
2023-09-07 18:45:00,787.4332533406742,-72.81123,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,28.75
2023-09-07 19:00:00,787.0802066139756,-32.08725,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,29.0
2023-09-07 19:15:00,791.0223050030056,-25.043118556701025,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,29.25
2023-09-07 19:30:00,791.3855390033416,-54.28053000000002,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,29.5
2023-09-07 19:45:00,793.0711760333694,-65.86800000000004,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,29.75
2023-09-07 20:00:00,792.5672591661155,-106.50159999999994,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,30.0
2023-09-07 20:15:00,796.1611829866198,-83.64264999999999,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,30.25
2023-09-07 20:30:00,793.9194665660306,-5.713270000000003,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,30.5
2023-09-07 20:45:00,794.5896859157333,74.39452999999999,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,30.75
2023-09-07 21:00:00,747.5085078596821,-73.55434999999997,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,31.0
2023-09-07 21:15:00,751.0615327713292,-56.84516999999999,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,31.25
2023-09-07 21:30:00,749.5331807011924,8.265890000000004,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,31.5
2023-09-07 21:45:00,748.5591958761285,119.03108000000006,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,31.75
2023-09-07 22:00:00,686.0175401373959,-68.6807,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,32.0
2023-09-07 22:15:00,686.4553705518264,-38.8469,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,32.25
2023-09-07 22:30:00,690.5970291949316,40.57484,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,32.5
2023-09-07 22:45:00,685.1259180730091,127.5049710309279,106.29,106.29,105.2,101.63967367549452,,,,,105.2,,,106.29,,,106.29,,2023-09-06 14:00:00,32.75
