ORAINI,load_cluster_forecast,sbil_forecasted,mi1,mi2,mgp,msd_forecast_EUR_MWh,cluster_load_actual_available_MW,consumption_actual_available_MWh,macro_imbalance_actual_available_MWh,price_MGP_realized_EUR_MWh,mgp_signal_EUR_MWh,mi1_realized_EUR_MWh,price_MI1_realized_EUR_MWh,mi1_signal_EUR_MWh,mi2_realized_EUR_MWh,price_MI2_realized_EUR_MWh,mi2_signal_EUR_MWh,price_MI_realized_EUR_MWh,mgp_offer_deadline_ts,mgp_offer_deadline_hours_before_delivery
2023-09-07 12:45:00,,83.815475,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,22.75
2023-09-07 13:00:00,780.4519,83.815475,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,23.0
2023-09-07 13:15:00,779.0487,55.800613,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,23.25
2023-09-07 13:30:00,780.232,34.104477,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,23.5
2023-09-07 13:45:00,783.46844,1.7651836,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,23.75
2023-09-07 14:00:00,807.15094,96.524284,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,24.0
2023-09-07 14:15:00,807.2767,63.861984,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,24.25
2023-09-07 14:30:00,808.59467,28.585196,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,24.5
2023-09-07 14:45:00,812.5075,-4.067904,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,24.75
2023-09-07 15:00:00,815.27185,98.88212,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,25.0
2023-09-07 15:15:00,814.7124,67.9757,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,25.25
2023-09-07 15:30:00,814.5141,28.36398,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,25.5
2023-09-07 15:45:00,814.77686,-7.769161,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,25.75
2023-09-07 16:00:00,813.15454,98.17394,109.46,109.46,107.8,103.55919107790898,,,,,107.8,,,109.46,,,109.46,,2023-09-06 14:00:00,26.0
